TYPE_OF_ME,MASS_G,YEAR,DATABASE,COORDINATE,COORDINA_1
L5/6,1600,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=47357,20.33916,73.22329
Eucrite-mmict,960,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=47355,40.30583,-105.02325
Eucrite,180,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34489,28.5475,-81.36222
H5,29560,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44876,15.78333,-5.9
"Iron, IIE-an",6800,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=47351,25.14333,75.81333
H5,4000,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=47344,32.79732,21.78713
CO3.6,3763,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=36592,59.43333,10.7
L5,100,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=47362,22.68,70.31333
H5,100000,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=47347,23.69639,-5.01472
H4/5,70500,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=47361,27.66667,95.78333
H3-5,3396,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=47350,37.35172,27.32997
Eucrite-br,500,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=45984,39.35,-3.51667
H/L4,478,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=45976,3.405,-76.51
H4-5,342,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=45817,-16.66444,-69.04389
Eucrite,324,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=48653,-31.35,129.19
H5,18.41,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=53502,38.13742,-119.75812
LL6,110000,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48951,12.66667,78.03333
H5,100000,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48691,31.16333,-7.015
H4,41000,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48654,52.996,-109.84817
L5-6,6913,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=51706,45.275,26.70972
L5,6580,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=51559,-1.87089,-79.95756
L4,5760,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=53654,36.54194,29.41822
L6,4000,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=50909,-31.535556,-68.489444
Ureilite-an,3950,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48915,20.74575,32.41275
L6,270,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48975,-31.91,-58.32833
L6,9500,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=48954,31.805,-97.01
L6,3667,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=51589,46.42137,14.05217
H5,2139,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=49514,31.96185,-110.434183
H5,215,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=50911,43.2,-79.61667
CM2,25.81,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=48973,54.76183,11.46745
H5,4300,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=53810,48.76367,21.17633
L5,3584,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=52090,42.9075,-90.36556
L5,2500,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=53633,-20.85001,-41.73356
H5,1600,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=54719,26.46469,106.63241
L6,329.7,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=52843,38.70066,-77.21163
L6,14200,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=54493,-1.00278,37.15028
Martian (shergottite),7000,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=54823,29.48195,-7.61123
L6,1066,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=53829,54.00883,22.005
L6,2900,2012,http://www.lpi.usra.edu/meteor/metbull.php?code=56133,40.66813,-117.18913
C,992.5,2012,http://www.lpi.usra.edu/meteor/metbull.php?code=55529,38.80389,-120.90806
